Company,Month,Service,Campaign,Paid,Percent,Spend,Spent,Impressions,Clicks,CRT
Matt's Roofing & Gutters,AUG,Roofing,Paid Search,1000,0.6,600,730.03,13944,100,0.007171543
McGuire's Portable Buildings,AUG,Buildings,Paid Search,0,0.6,0,0,0,0,0
Mid GA Garage Doors,AUG,Buildings,Paid Search,0,0.6,0,0,0,0,0
Midtown OB,AUG,Medical,Paid Search,250,0.6,150,354.53,1088,94,0.086397059
Midtown OB Fibroids Trial,AUG,Medical,Paid Search,0,0.6,0,0,0,0,0
Muse Kitchen & Bath,AUG,Home Improvement,Paid Search,0,0.6,0,0,0,0,0
Northridge Vet,AUG,Veterinary,Paid Search,500,0.6,300,295.48,2411,85,0.035255081
Only Plumbing,AUG,Plumbing,Paid Search,6500,0.6,3900,5003.93,33538,487,0.014520842
Overby Company,AUG,Office Supply,Paid Search,400,0.6,240,814.76,9154,107,0.011688879
Overhead Door Company,AUG,Garage Door,Paid Search,1500,0.6,900,968.45,4352,60,0.013786765
Overhead Door Pensacola,AUG,Garage Door,Paid Search,0,0.6,0,0,0,0,0
Overhead Door -Watertown,AUG,Garage Door,Paid Search,500,0.6,300,300.86,1307,82,0.062739097
Parkside Dental,AUG,Dentist,Paid Search,1000,0.6,600,659.36,2399,88,0.036681951
Pink Monarch,AUG,Medical,Paid Search,240,0.6,144,138.27,714,31,0.043417367
PinProps,AUG,Real Estate,Paid Search,0,0.6,0,0,0,0,0
Pioneer Comfort Systems,AUG,HVAC,Paid Search,0,0.6,0,0,0,0,0
Proscape Colorants,AUG,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Proway Turf,AUG,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Reliance Home Services,AUG,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Rusty's  Floor Coverings,AUG,Flooring,Paid Search,0,0.6,0,0,0,0,0
Servpro CDW,AUG,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
ServPro of Phenix City,AUG,Restoration & Cleaning,Paid Search,1370,0.6,822,881.23,3713,79,0.021276596
Shred A Way,AUG,Office Supply,Paid Search,400,0.6,240,205.75,873,30,0.034364261
Smiths Radiator,AUG,Tire & Auto,Paid Search,1000,0.6,600,491.18,2754,161,0.058460421
Southeastern Insulation,AUG,Home Improvement,Paid Search,800,0.6,480,24.87,464,7,0.015086207
Southern Services Carpet,AUG,Flooring,Paid Search,500,0.6,300,299.38,725,29,0.04
Synovus Wealth Management,AUG,Banking,Paid Search,0,0.6,0,0,0,0,0
The Roofing Guys,AUG,Roofing,Paid Search,0,0.6,0,0,0,0,0
Thompson West Plumbing,AUG,Plumbing,Paid Search,0,0.6,0,0,0,0,0
Tires First - Aletheia,AUG,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Top Notch Cleaning,AUG,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
Transmission Plus / AAA Parts & Salvage,AUG,Tire & Auto,Paid Search,2800,0.6,1680,1036.33,9704,328,0.033800495
AAA Parts & Salvage,AUG,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Watson Plumbing,AUG,Plumbing,Paid Search,500,0.6,300,302.48,1552,54,0.034793814
West GA Custom Fence,AUG,Fencing,Paid Search,0,0.6,0,0,0,0,0
West Georgia Eye Care,AUG,Medical,Paid Search,600,0.6,360,361.55,2597,57,0.021948402
WK Eye - The Cataract Surgeons,AUG,Medical,Paid Search,0,0.6,0,0,0,0,0
Adams Family Dentistry,SEPT,Dentist,Paid Search,900,0.6,540,215.14,152702,171,0.001119828
Advanced Cleaning Systems,SEPT,Restoration & Cleaning,Paid Search,0,0.6,0,0,,,0
Airfare Desk Inc.,SEPT,Travel,Paid Search,0,0.6,0,0,,,0
AirLogic,SEPT,HVAC,Paid Search,0,0.6,0,0,,,0
Alabama Funeral Homes & Cremation Center,SEPT,Funeral,Paid Search,0,0.6,0,0,0,0,0
Aletheia Digital,SEPT,Marketing,Paid Search,0,0.6,0,0,0,0,0
Allstar Heating & Air,SEPT,HVAC,Paid Search,0,0.6,0,0,0,0,0
America's Best Restoration,SEPT,Roofing,Paid Search,0,0.6,0,0,,,0
American Roofing and Restoration,SEPT,Roofing,Paid Search,500,0.6,300,189.65,112916,331,0.002931383
ASP Pools ,SEPT,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Avery's Furniture,SEPT,Furniture,Paid Search,0,0.6,0,0,,,0
Ben's Locksmith,SEPT,Locksmith,Paid Search,0,0.6,0,0,,,0
Beracah Homes,SEPT,Housing,Paid Search,0,0.6,0,0,0,0,0
Boyd Contracting,SEPT,Roofing,Paid Search,0,0.6,0,0,,,0
Buzzell Plumbing Heating & AC,SEPT,"Plumbing, HVAC",Paid Search,0,0.6,0,0,0,0,0
Childress Dental,SEPT,Dentist,Paid Search,0,0.6,0,0,0,0,0
Chris Moore Roofing,SEPT,Roofing,Paid Search,0,0.6,0,0,0,0,0
Columbus Custom Hardwoods,SEPT,Flooring,Paid Search,0,0.6,0,0,,,0
Columbus Hospice,SEPT,Medical,Paid Search,0,0.6,0,550.067666,12379,1,8.08E-05
Complete Tire,SEPT,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Containers by Reaves,SEPT,Waste Management,Paid Search,0,0.6,0,0,0,0,0
D&H Backhoe Services,SEPT,Plumbing,Paid Search,0,0.6,0,0,0,0,0
Elements Lawn & Pest,SEPT,Landscaping & Pools,Paid Search,0,0.6,0,0,,,0
Elite Tree Service,SEPT,Tree Service,Paid Search,0,0.6,0,0,,,0
Fairway Carts - EZ Go,SEPT,Golfing,Paid Search,0,0.6,0,0,,,0
Fairway Carts - SKAG,SEPT,Golfing,Paid Search,0,0.6,0,0,,,0
Fence Doctor,SEPT,Fencing,Paid Search,0,0.6,0,0,,,0
First Baptist Church School,SEPT,Church & School,Paid Search,0,0.6,0,0,,,0
First Response Services,SEPT,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
Fosters Tree Service,SEPT,Tree Service,Paid Search,0,0.6,0,0,0,0,0
Funderburk & Lane,SEPT,Lawyer,Paid Search,0,0.6,0,0,,,0
Green Team Dumpster Rentals,SEPT,Waste Management,Paid Search,0,0.6,0,0,0,0,0
Gutter Perfection,SEPT,Roofing,Paid Search,0,0.6,0,0,,,0
iAct Colorectal Cancer,SEPT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Diabetes Mellitus Trial,SEPT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Eczema Trial,SEPT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Oral Mucositis,SEPT,Medical,Paid Search,0,0.6,0,0,0,0,0
iAct Pancreatic Cancer,SEPT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Pneumonia Vaccine Trial,SEPT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Teen Obesity,SEPT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
Law Office of Sherry L. Johnson,SEPT,Lawyer,Paid Search,0,0.6,0,0,,,0
Majestic Carpet,SEPT,Flooring,Paid Search,0,0.6,0,0,,,0
Matt's Roofing & Gutters,SEPT,Roofing,Paid Search,1000,0.6,600,264.51,74641,312,0.004180008
McGuire's Portable Buildings,SEPT,Buildings,Paid Search,0,0.6,0,0,0,0,0
Mid GA Garage Doors,SEPT,Buildings,Paid Search,0,0.6,0,0,,,0
Midtown OB,SEPT,Medical,Paid Search,1250,0.6,750,301.16,209901,553,0.002634575
Midtown OB Fibroids Trial,SEPT,Medical,Paid Search,0,0.6,0,0,0,0,0
Muse Kitchen & Bath,SEPT,Home Improvement,Paid Search,150,0.6,90,0,,,0
Northridge Vet,SEPT,Veterinary,Paid Search,500,0.6,300,162.25,128799,141,0.001094729
Only Plumbing,SEPT,Plumbing,Paid Search,0,0.6,0,0,0,0,0
Overby Company,SEPT,Office Supply,Paid Search,0,0.6,0,0,0,0,0
Overhead Door Company,SEPT,Garage Door,Paid Search,0,0.6,0,0,,,0
Overhead Door Pensacola,SEPT,Garage Door,Paid Search,0,0.6,0,0,,,0
Overhead Door -Watertown,SEPT,Garage Door,Paid Search,500,0.6,300,282.39,66128,80,0.001209775
Parkside Dental,SEPT,Dentist,Paid Search,500,0.6,300,192.71,84138,540,0.006418028
Pink Monarch,SEPT,Medical,Paid Search,560,0.6,336,219.73,163098,134,0.000821592
PinProps,SEPT,Real Estate,Paid Search,0,0.6,0,0,0,0,0
Pioneer Comfort Systems,SEPT,HVAC,Paid Search,0,0.6,0,0,,,0
Proscape Colorants,SEPT,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Proway Turf,SEPT,Landscaping & Pools,Paid Search,0,0.6,0,0,,,0
Reliance Home Services,SEPT,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Rusty's  Floor Coverings,SEPT,Flooring,Paid Search,0,0.6,0,0,,,0
Servpro CDW,SEPT,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
ServPro of Phenix City,SEPT,Restoration & Cleaning,Paid Search,400,0.6,240,204.2,89152,113,0.001267498
Shred A Way,SEPT,Office Supply,Paid Search,0,0.6,0,0,0,0,0
Smiths Radiator,SEPT,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Southeastern Insulation,SEPT,Home Improvement,Paid Search,300,0.6,180,0,,,0
Southern Services Carpet,SEPT,Flooring,Paid Search,0,0.6,0,0,,,0
Synovus Wealth Management,SEPT,Banking,Paid Search,0,0.6,0,0,0,0,0
The Roofing Guys,SEPT,Roofing,Paid Search,0,0.6,0,0,0,0,0
Thompson West Plumbing,SEPT,Plumbing,Paid Search,0,0.6,0,0,0,0,0
Tires First - Aletheia,SEPT,Tire & Auto,Paid Search,1700,0.6,1020,245.6,146285,228,0.001558601
Top Notch Cleaning,SEPT,Restoration & Cleaning,Paid Search,0,0.6,0,0,,,0
Transmission Plus / AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,0,0.6,0,0,,,0
AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,2800,0.6,1680,1017.96,7212,283,0.039240155
Watson Plumbing,SEPT,Plumbing,Paid Search,0,0.6,0,0,,,0
West GA Custom Fence,SEPT,Fencing,Paid Search,0,0.6,0,0,,,0
West Georgia Eye Care,SEPT,Medical,Paid Search,1000,0.6,600,11.51,13675,40,0.002925046
WK Eye - The Cataract Surgeons,SEPT,Medical,Paid Search,0,0.6,0,0,,,0
Adams Family Dentistry,OCT,Dentist,Paid Search,600,0.6,360,358.07,825,80,0.096969697
Advanced Cleaning Systems,OCT,Restoration & Cleaning,Paid Search,0,0.6,0,246.87,881,32,0.036322361
Airfare Desk Inc.,OCT,Travel,Paid Search,5954.11,0.6,3572.466,0,0,0,0
AirLogic,OCT,HVAC,Paid Search,1800,0.6,1080,1081.52,2752,52,0.018895349
Alabama Funeral Homes & Cremation Center,OCT,Funeral,Paid Search,0,0.6,0,0,0,0,0
Aletheia Digital,OCT,Marketing,Paid Search,0,0.6,0,0,0,0,0
Allstar Heating & Air,OCT,HVAC,Paid Search,0,0.6,0,0,0,0,0
America's Best Restoration,OCT,Roofing,Paid Search,0,0.6,0,0,0,0,0
American Roofing and Restoration,OCT,Roofing,Paid Search,1500,0.6,900,776.64,197,80,0.406091371
ASP Pools,OCT,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Avery's Furniture,OCT,Furniture,Paid Search,300,0.6,180,178.34,2516,55,0.021860095
Ben's Locksmith,OCT,Locksmith,Paid Search,0,0.6,0,0,0,0,0
Beracah Homes,OCT,Housing,Paid Search,0,0.6,0,0,0,0,0
Boyd Contracting,OCT,Roofing,Paid Search,0,0.6,0,0,0,0,0
Buzzell Plumbing Heating & AC,OCT,"Plumbing, HVAC",Paid Search,0,0.6,0,0,0,0,0
Childress Dental,OCT,Dentist,Paid Search,0,0.6,0,0,0,0,0
Chris Moore Roofing,OCT,Roofing,Paid Search,1000,0.6,600,595.25,1063,59,0.055503293
Columbus Custom Hardwoods,OCT,Flooring,Paid Search,0,0.6,0,0,0,0,0
Columbus Hospice,OCT,Medical,Paid Search,0,0.6,0,195.64,778,65,0.083547558
Complete Tire,OCT,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Containers by Reaves,OCT,Waste Management,Paid Search,0,0.6,0,0,0,0,0
D&H Backhoe Services,OCT,Plumbing,Paid Search,0,0.6,0,0,0,0,0
Elements Lawn & Pest,OCT,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Elite Tree Service,OCT,Tree Service,Paid Search,1200,0.6,720,733.58,4684,120,0.025619129
Fairway Carts - EZ Go,OCT,Golfing,Paid Search,0,0.6,0,0,0,0,0
Fairway Carts - SKAG,OCT,Golfing,Paid Search,0,0.6,0,0,0,0,0
Fence Doctor,OCT,Fencing,Paid Search,0,0.6,0,0,0,0,0
First Baptist Church School,OCT,Church & School,Paid Search,0,0.6,0,0,0,0,0
First Response Services,OCT,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
Fosters Tree Service,OCT,Tree Service,Paid Search,0,0.6,0,0,0,0,0
Funderburk & Lane,OCT,Lawyer,Paid Search,0,0.6,0,0,0,0,0
Green Team Dumpster Rentals,OCT,Waste Management,Paid Search,0,0.6,0,0,0,0,0
Gutter Perfection,OCT,Roofing,Paid Search,0,0.6,0,0,0,0,0
iAct Colorectal Cancer,OCT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Diabetes Mellitus Trial,OCT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Eczema Trial,OCT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Oral Mucositis,OCT,Medical,Paid Search,0,0.6,0,0,0,0,0
iAct Pancreatic Cancer,OCT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Pneumonia Vaccine Trial,OCT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Teen Obesity,OCT,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
Law Office of Sherry L. Johnson,OCT,Lawyer,Paid Search,0,0.6,0,0,0,0,0
Majestic Carpet,OCT,Flooring,Paid Search,625,0.6,375,374.04,1114,44,0.039497307
Matt's Roofing & Gutters,OCT,Roofing,Paid Search,1000,0.6,600,603.56,621,52,0.08373591
McGuire's Portable Buildings,OCT,Buildings,Paid Search,0,0.6,0,0,0,0,0
Mid GA Garage Doors,OCT,Buildings,Paid Search,0,0.6,0,0,0,0,0
Midtown OB,OCT,Medical,Paid Search,250,0.6,150,204.73,685,61,0.089051095
Midtown OB Fibroids Trial,OCT,Medical,Paid Search,0,0.6,0,0,0,0,0
Muse Kitchen & Bath,OCT,Home Improvement,Paid Search,500,0.6,300,300.39,2721,56,0.020580669
Northridge Vet,OCT,Veterinary,Paid Search,500,0.6,300,298.13,2626,70,0.026656512
Only Plumbing,OCT,Plumbing,Paid Search,6500,0.6,3900,4711.31,10347,307,0.029670436
Overby Company,OCT,Office Supply,Paid Search,400,0.6,240,266.14,4647,51,0.010974822
Overhead Door Company,OCT,Garage Door,Paid Search,1500,0.6,900,962.58,3336,251,0.075239808
Overhead Door Pensacola,OCT,Garage Door,Paid Search,0,0.6,0,0,0,0,0
Overhead Door -Watertown,OCT,Garage Door,Paid Search,500,0.6,300,309.02,1897,92,0.048497628
Parkside Dental,OCT,Dentist,Paid Search,1000,0.6,600,650.67,2308,68,0.029462738
Pink Monarch,OCT,Medical,Paid Search,240,0.6,144,229.63,758,46,0.060686016
PinProps,OCT,Real Estate,Paid Search,0,0.6,0,0,0,0,0
Pioneer Comfort Systems,OCT,HVAC,Paid Search,0,0.6,0,0,0,0,0
Proscape Colorants,OCT,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Proway Turf,OCT,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Reliance Home Services,OCT,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Rusty's  Floor Coverings,OCT,Flooring,Paid Search,500,0.6,300,294.61,3979,57,0.014325207
Servpro CDW,OCT,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
ServPro of Phenix City,OCT,Restoration & Cleaning,Paid Search,600,0.6,360,351.13,777,35,0.045045045
Shred A Way,OCT,Office Supply,Paid Search,400,0.6,240,227.54,931,24,0.025778733
Smiths Radiator,OCT,Tire & Auto,Paid Search,1000,0.6,600,618.55,2715,172,0.06335175
Southeastern Insulation,OCT,Home Improvement,Paid Search,800,0.6,480,484.8,2345,79,0.033688699
Southern Services Carpet,OCT,Flooring,Paid Search,500,0.6,300,309.77,739,25,0.033829499
Synovus Wealth Management,OCT,Banking,Paid Search,0,0.6,0,0,0,0,0
The Roofing Guys,OCT,Roofing,Paid Search,0,0.6,0,0,0,0,0
Thompson West Plumbing,OCT,Plumbing,Paid Search,1000,0.6,600,102.72,344,7,0.020348837
Tires First - Aletheia,OCT,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Top Notch Cleaning,OCT,Restoration & Cleaning,Paid Search,1500,0.6,900,907.19,3713,110,0.02962564
Transmission Plus / AAA Parts & Salvage,OCT,Tire & Auto,Paid Search,2800,0.6,1680,1044.45,6036,276,0.045725646
AAA Parts & Salvage,OCT,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Watson Plumbing,OCT,Plumbing,Paid Search,500,0.6,300,295.66,1473,52,0.035302105
West GA Custom Fence,OCT,Fencing,Paid Search,0,0.6,0,0,0,0,0
West Georgia Eye Care,OCT,Medical,Paid Search,600,0.6,360,359.86,2578,52,0.020170675
WK Eye - The Cataract Surgeons,OCT,Medical,Paid Search,0,0.6,0,0,0,0,0
Adams Family Dentistry,NOV,Dentist,Paid Search,600,0.6,360,364.21,3339,78,0.023360288
Advanced Cleaning Systems,NOV,Restoration & Cleaning,Paid Search,0,0.6,0,29.89,178,4,0.02247191
Airfare Desk Inc.,NOV,Travel,Paid Search,4537.39,0.6,2722.434,0,0,0,0
AirLogic,NOV,HVAC,Paid Search,1800,0.6,1080,1084.52,3598,58,0.016120067
Alabama Funeral Homes & Cremation Center,NOV,Funeral,Paid Search,0,0.6,0,0,0,0,0
Aletheia Digital,NOV,Marketing,Paid Search,0,0.6,0,0,0,0,0
Allstar Heating & Air,NOV,HVAC,Paid Search,0,0.6,0,0,0,0,0
America's Best Restoration,NOV,Roofing,Paid Search,0,0.6,0,0,0,0,0
American Roofing and Restoration,NOV,Roofing,Paid Search,1500,0.6,900,966.36,2994,77,0.025718103
ASP Pools,NOV,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Avery's Furniture,NOV,Furniture,Paid Search,300,0.6,180,176.63,2262,48,0.021220159
Ben's Locksmith,NOV,Locksmith,Paid Search,0,0.6,0,0,0,0,0
Beracah Homes,NOV,Housing,Paid Search,1208,0.6,724.8,734.31,3818,325,0.085123101
Boyd Contracting,NOV,Roofing,Paid Search,0,0.6,0,0,0,0,0
Buzzell Plumbing Heating & AC,NOV,"Plumbing, HVAC",Paid Search,0,0.6,0,0,0,0,0
Childress Dental,NOV,Dentist,Paid Search,0,0.6,0,0,0,0,0
Chris Moore Roofing,NOV,Roofing,Paid Search,1000,0.6,600,605.04,1396,66,0.047277937
Columbus Custom Hardwoods,NOV,Flooring,Paid Search,500,0.6,300,0,0,0,0
Columbus Hospice,NOV,Medical,Paid Search,1200,0.6,720,601.92,2112,169,0.080018939
Complete Tire,NOV,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Containers by Reaves,NOV,Waste Management,Paid Search,0,0.6,0,0,0,0,0
D&H Backhoe Services,NOV,Plumbing,Paid Search,0,0.6,0,0,0,0,0
Elements Lawn & Pest,NOV,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Elite Tree Service,NOV,Tree Service,Paid Search,700,0.6,420,427.4,3422,71,0.020748101
Fairway Carts - EZ Go,NOV,Golfing,Paid Search,0,0.6,0,0,0,0,0
Fairway Carts - SKAG,NOV,Golfing,Paid Search,0,0.6,0,0,0,0,0
Fence Doctor,NOV,Fencing,Paid Search,0,0.6,0,0,0,0,0
First Baptist Church School,NOV,Church & School,Paid Search,0,0.6,0,0,0,0,0
First Response Services,NOV,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
Fosters Tree Service,NOV,Tree Service,Paid Search,0,0.6,0,0,0,0,0
Funderburk & Lane,NOV,Lawyer,Paid Search,0,0.6,0,0,0,0,0
Green Team Dumpster Rentals,NOV,Waste Management,Paid Search,0,0.6,0,0,0,0,0
Gutter Perfection,NOV,Roofing,Paid Search,0,0.6,0,0,0,0,0
iAct Colorectal Cancer,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Diabetes Mellitus Trial,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Eczema Trial,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Oral Mucositis,NOV,Medical,Paid Search,0,0.6,0,0,0,0,0
iAct Pancreatic Cancer,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Pneumonia Vaccine Trial,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
iAct Teen Obesity,NOV,Clinical Trials,Paid Search,0,0.6,0,0,0,0,0
Law Office of Sherry L. Johnson,NOV,Lawyer,Paid Search,0,0.6,0,0,0,0,0
Majestic Carpet,NOV,Flooring,Paid Search,625,0.6,375,372.32,1810,47,0.025966851
Matt's Roofing & Gutters,NOV,Roofing,Paid Search,1000,0.6,600,620.23,5691,57,0.010015814
McGuire's Portable Buildings,NOV,Buildings,Paid Search,0,0.6,0,0,0,0,0
Mid GA Garage Doors,NOV,Buildings,Paid Search,0,0.6,0,0,0,0,0
Midtown OB,NOV,Medical,Paid Search,250,0.6,150,170.82,519,61,0.117533719
Midtown OB Fibroids Trial,NOV,Medical,Paid Search,0,0.6,0,0,0,0,0
Muse Kitchen & Bath,NOV,Home Improvement,Paid Search,500,0.6,300,297.65,4534,66,0.014556683
Northridge Vet,NOV,Veterinary,Paid Search,500,0.6,300,299.64,2321,79,0.034037053
Only Plumbing,NOV,Plumbing,Paid Search,0,0.6,0,1185.46,5208,72,0.013824885
Overby Company,NOV,Office Supply,Paid Search,400,0.6,240,223.67,5146,40,0.007773028
Overhead Door Company,NOV,Garage Door,Paid Search,1500,0.6,900,958.38,10198,227,0.022259267
Overhead Door Pensacola,NOV,Garage Door,Paid Search,0,0.6,0,0,0,0,0
Overhead Door -Watertown,NOV,Garage Door,Paid Search,500,0.6,300,304,2497,89,0.035642771
Parkside Dental,NOV,Dentist,Paid Search,1000,0.6,600,636.26,1993,66,0.033115906
Pink Monarch,NOV,Medical,Paid Search,240,0.6,144,148.65,887,29,0.032694476
PinProps,NOV,Real Estate,Paid Search,0,0.6,0,0,0,0,0
Pioneer Comfort Systems,NOV,HVAC,Paid Search,0,0.6,0,0,0,0,0
Proscape Colorants,NOV,Landscaping & Pools,Paid Search,1000,0.6,600,320.06,5339,115,0.021539614
Proway Turf,NOV,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Reliance Home Services,NOV,Roofing & HVAC,Paid Search,0,0.6,0,0,0,0,0
Rusty's  Floor Coverings,NOV,Flooring,Paid Search,500,0.6,300,301.72,4298,63,0.01465798
Servpro CDW,NOV,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
ServPro of Phenix City,NOV,Restoration & Cleaning,Paid Search,600,0.6,360,413.58,1307,34,0.026013772
Shred A Way,NOV,Office Supply,Paid Search,400,0.6,240,269.3,1124,26,0.023131673
Smiths Radiator,NOV,Tire & Auto,Paid Search,1000,0.6,600,613.51,4035,164,0.040644362
Southeastern Insulation,NOV,Home Improvement,Paid Search,800,0.6,480,638.35,4247,112,0.026371556
Southern Services Carpet,NOV,Flooring,Paid Search,500,0.6,300,297.77,1133,24,0.021182701
Synovus Wealth Management,NOV,Banking,Paid Search,0,0.6,0,25.57,644,5,0.007763975
The Roofing Guys,NOV,Roofing,Paid Search,0,0.6,0,0,0,0,0
Thompson West Plumbing,NOV,Plumbing,Paid Search,1000,0.6,600,1329.64,8217,195,0.023731289
Tires First - Aletheia,NOV,Tire & Auto,Paid Search,0,0.6,0,0,0,0,0
Top Notch Cleaning,NOV,Restoration & Cleaning,Paid Search,1500,0.6,900,889.95,2979,116,0.038939241
Transmission Plus / AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,1440,0.6,864,695.87,5389,107,0.019855261
AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,1000,0.6,600,498.07,4582,167,0.036446966
Watson Plumbing,NOV,Plumbing,Paid Search,500,0.6,300,297.9,1435,51,0.03554007
West GA Custom Fence,NOV,Fencing,Paid Search,0,0.6,0,0,0,0,0
West Georgia Eye Care,NOV,Medical,Paid Search,600,0.6,360,347.59,2422,55,0.022708505
WK Eye - The Cataract Surgeons,NOV,Medical,Paid Search,0,0.6,0,0,0,0,0
Adams Family Dentistry,DEC,Dentist,Paid Search,600,0.6,360,353.39,849,68,0.080094229
Advanced Cleaning Systems,DEC,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
Airfare Desk Inc.,DEC,Travel,Paid Search,8409.2,0.6,5045.5,0,0,0,0
AirLogic,DEC,HVAC,Paid Search,1000,0.6,600,1068.32,5716,115,0.020118964
Alabama Funeral Homes & Cremation Center,DEC,Funeral,Paid Search,0,0.6,0,0,0,0,0
Aletheia Digital,DEC,Marketing,Paid Search,0,0.6,0,0,0,0,0
Allstar Heating & Air,DEC,HVAC,Paid Search,0,0.6,0,0,0,0,0
America's Best Restoration,DEC,Roofing,Paid Search,0,0.6,0,0,0,0,0
American Roofing and Restoration,DEC,Roofing,Paid Search,1500,0.6,900,1040.26,1445,104,0.071972318
ASP Pools,DEC,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Avery's Furniture,DEC,Furniture,Paid Search,300,0.6,180,175.44,2504,53,0.021166134
Ben's Locksmith,DEC,Locksmith,Paid Search,0,0.6,0,0,0,0,0
Beracah Homes,DEC,Housing,Paid Search,1600,0.6,960,964.17,3548,324,0.091319053
Boyd Contracting,DEC,Roofing,Paid Search,0,0.6,0,0,0,0,0
Buzzell Plumbing Heating & AC,DEC,"Plumbing, HVAC",Paid Search,0,0.6,0,0,0,0,0
Childress Dental,DEC,Dentist,Paid Search,0,0.6,0,0,0,0,0
Chris Moore Roofing,DEC,Roofing,Paid Search,1000,0.6,600,582.84,1576,59,0.037436548
Columbus Custom Hardwoods,DEC,Flooring,Paid Search,0,0.6,0,297.98,39094,84,0.002148667
Columbus Hospice,DEC,Medical,Paid Search,1500,0.6,900,902.69,2314,282,0.121866897
Complete Tire,DEC,Tire & Auto,Paid Search,1000,0.6,600,590.97,2826,115,0.04069356
Containers by Reaves,DEC,Waste Management,Paid Search,0,0.6,0,0,0,0,0
D&H Backhoe Services,DEC,Plumbing,Paid Search,0,0.6,0,0,0,0,0
Elements Lawn & Pest,DEC,Landscaping & Pools,Paid Search,0,0.6,0,0,0,0,0
Elite Tree Service,DEC,Tree Service,Paid Search,700,0.6,420,421.06,2687,73,0.027167845
Fairway Carts - EZ Go,DEC,Golfing,Paid Search,0,0.6,0,0,0,0,0
Fairway Carts - SKAG,DEC,Golfing,Paid Search,0,0.6,0,0,0,0,0
Fence Doctor,DEC,Fencing,Paid Search,0,0.6,0,0,0,0,0
First Baptist Church School,DEC,Church & School,Paid Search,500,0.6,300,310.62,1868,90,0.048179872
First Response Services,DEC,Restoration & Cleaning,Paid Search,0,0.6,0,0,0,0,0
Fosters Tree Service,DEC,Tree Service,Paid Search,0,0.6,0,0,0,0,0
Funderburk & Lane,DEC,Lawyer,Paid Search,0,0.6,0,0,0,0,0
