Company,Month,Service to Public,Campaign Type,Company Location,Paid to Ad,Percent,Spend,Spent,Impressions,Clicks,CRT,Goal
Elements Lawn & Pest,NOV,Landscaping & Pools,Paid Search,,1500,0.6,900.0,0.0,0,0,,
Elite Tree Service,NOV,Tree Service,Paid Search,,700,0.6,420.0,360.49,1367,48,0.035113387,
E&S Clothing Warehouse,NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
Fairway Carts - EZ Go,NOV,Golfing,Paid Search,,400,0.6,240.0,164.2,707,41,0.057991513,
Fence Doctor,NOV,Fencing,Paid Search,,500,0.6,300.0,210.86,1679,65,0.03871352,
Five Star Painting ,NOV,,Paid Search,,600,0.6,360.0,251.33,1202,33,0.027454243,
Fosters Tree Service,NOV,Tree Service,Paid Search,,700,0.6,420.0,294.85,641,13,0.020280811,
Funderburk & Lane,NOV,Lawyer,Paid Search,,1000,0.6,600.0,466.7,788,30,0.038071066,
Green Team Dumpster Rentals,NOV,Waste Management,Paid Search,,500,0.6,300.0,146.85,1379,24,0.017403916000000002,
Gutter Perfection,NOV,Roofing,Paid Search,,1200,0.6,720.0,487.74,3814,72,0.018877819,
iAct BIO Pediactric Diabetes Mellitus,NOV,Clinical Trials,Paid Search,,100,0.6,60.0,36.35,629,19,0.030206677,
iAct Cardiomyopathy Trial,NOV,Clinical Trials,Paid Search,,125,0.6,75.0,0.0,0,0,,
iAct Celiac Disease,NOV,Clinical Trials,Paid Search,,75,0.6,45.0,43.02,575,18,0.031304347999999996,
iAct Incyte Ped Eczema,NOV,Clinical Trials,Paid Search,,75,0.6,45.0,0.0,0,0,,
iAct Lung Cancer,NOV,Clinical Trials,Paid Search,,,0.6,0.0,0.0,0,0,,
iAct Lung Cancer Two,NOV,Clinical Trials,Paid Search,,,0.6,0.0,0.0,0,0,,
iAct Galera Oral Mucositis,NOV,Clinical Trials,Paid Search,,167,0.6,100.2,0.0,0,0,,
iAct Skin Infection,NOV,Clinical Trials,Paid Search,,220,0.6,132.0,16.5,277,7,0.025270757999999997,
iAct Pfizer AD ,NOV,Clinical Trials,Paid Search,,320,0.6,192.0,0.0,0,0,,
iAct Ulcerative Colitis ,NOV,Clinical Trials,Paid Search,,167,0.6,100.2,17.12,151,8,0.052980132,
iAct Ulcerative Shire,NOV,Clinical Trials,Paid Search,,250,0.6,150.0,0.0,0,0,,
iAct Vivus Adolescent Obes,NOV,Clinical Trials,Paid Search,,1350,0.6,810.0,0.0,0,0,,
JAE of America,NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
Law Office of Sherry L. Johnson,NOV,Lawyer,Paid Search,,1000,0.6,600.0,209.75,1201,28,0.023313905,
Law Office of Shanna Rose,NOV,,Paid Search,,400,0.6,240.0,0.0,0,0,,
Majestic Carpet,NOV,Flooring,Paid Search,,625,0.6,375.0,266.09,1003,31,0.030907278,
Magic Bubbles,NOV,,Paid Search,,1750,0.6,1050.0,860.15,2686,64,0.023827252,
Maps.org,NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
Matt's Roofing & Gutters,NOV,Roofing,Paid Search,,3550,0.6,2130.0,1719.17,3451,104,0.030136192000000003,
Martin Brothers Body Works,NOV,Tire & Auto,Paid Search,,500,0.6,,0.0,0,0,,
McGuire's Portable Buildings,NOV,Buildings,Paid Search,,1800,0.6,1080.0,845.79,3930,264,0.067175573,
Mid-Georgia Garage DoorsMid- GA SEM,NOV,Buildings,Paid Search,,2000,0.6,1200.0,936.67,3138,106,0.033779477,
Midtown OB,NOV,Medical,Paid Search,,375,0.6,225.0,167.62,512,38,0.07421875,
Mold Zero,NOV,Home Improvement,Paid Search,,6500,0.5,3250.0,2184.92,5749,121,0.021047139,
Muse Kitchen & Bath,NOV,Home Improvement,Paid Search,,,0.6,0.0,0.0,0,0,,
NATSB,NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
Northridge Vet,NOV,Veterinary,Paid Search,,1000,0.6,600.0,0.0,0,0,,
Overby Company,NOV,Office Supply,Paid Search,,400,0.6,240.0,157.04,2128,23,0.010808271000000001,
Overhead Door Company,NOV,Garage Door,Paid Search,,1500,0.6,900.0,726.3,2717,140,0.05152742,
Overhead Door Pensacola,NOV,Garage Door,Paid Search,,5000,0.6,3000.0,1891.71,3599,158,0.04390108400000001,
Overhead Door Montgomery,NOV,Garage Door,Paid Search,,1500,0.6,900.0,1400.84,109213,940,0.008607034,
Overhead Door -Watertown,NOV,Garage Door,Paid Search,,500,0.6,300.0,215.87,601,36,0.059900166,
Parkside Dental,NOV,Dentist,Paid Search,,1000,0.6,600.0,374.48,851,50,0.058754407,
Pink Monarch,NOV,Medical,Paid Search,,240,0.6,144.0,105.81,350,24,0.068571429,
Piano Crafters,NOV,,Paid Search,,850,0.6,510.0,427.79,3684,160,0.043431053,
Platinum Roofing ,NOV,,Paid Search,,1500,0.6,0.0,688.03,805,64,0.07950310599999999,
PRMC,NOV,Real Estate,Paid Search,,,0.6,0.0,0.0,0,0,,
ProGuard 563,NOV,Roofing & HVAC,Paid Search,,,0.6,0.0,0.0,0,0,,
Reliance Home Services,NOV,Roofing & HVAC,Paid Search,,,0.6,0.0,0.0,0,0,,
Reliable Pool Enclosures,NOV,,Paid Search,,1500,0.6,900.0,732.24,6233,176,0.028236804,
Rusty's  Floor Coverings,NOV,Flooring,Paid Search,,,0.6,0.0,0.0,0,0,,
Servpro CDW,NOV,Restoration & Cleaning,Paid Search,,1200,0.6,720.0,0.0,7,0,0.0,
"Servpro Harris, Meriwether, & Stewart",NOV,,Paid Search,,,0.6,0.0,0.0,0,0,,
ServPro of Phenix City,NOV,Restoration & Cleaning,Paid Search,,700,0.6,420.0,299.59,5846,163,0.027882313,
Shred A Way,NOV,Office Supply,Paid Search,,1400,0.6,840.0,259.3,1639,38,0.023184869,
Smiths Radiator,NOV,Tire & Auto,Paid Search,,1000,0.6,600.0,423.89,2711,83,0.030616009,
Southern Services Carpet,NOV,Flooring,Paid Search,,500,0.6,300.0,162.19,649,33,0.050847458,
Southern Scarlett,NOV,,Paid Search,,500,0.6,300.0,0.0,0,0,,
Superior Plumbing,NOV,Plumbing,Paid Search,,1500,0.6,900.0,643.2,1252,59,0.047124600999999995,
Synovus Minority Birmingham,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Minority Naples,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Minority Atlanta,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Minority Sarasota,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Minority Mobile,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Minority Orlando,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Minority Cape Coral,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Minority Hilton Head,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Synovus Albany Branding ,NOV,Banking,Paid Search,,200,0.6,120.0,36.13,356,49,0.137640449,
Synovus Mobile Branding ,NOV,Banking,Paid Search,,150,0.6,90.0,34.5,1025,26,0.025365854,
Synovus Tifton Branding ,NOV,Banking,Paid Search,,150,0.6,90.0,16.51,78,1,0.012820513,
Synovus Sarasota Branding,NOV,Banking,Paid Search,,200,0.6,120.0,89.75,975,30,0.030769231,
Synovus Warner Robins Branding ,NOV,Banking,Paid Search,,120,0.6,72.0,55.9,601,36,0.059900166,
Synovus Valdosta Branding ,NOV,Banking,Paid Search,,,0.6,0.0,22.18,467,61,0.130620985,
Synovus Stockbrokers Caribbean ,NOV,Banking,Paid Search,,50,0.6,30.0,11.86,624,12,0.019230768999999998,
Synovus Stockbrokers Wellington ,NOV,Banking,Paid Search,,150,0.6,90.0,92.05,947,28,0.029567054,
Synovus Stockbrokers Palm Harbor ,NOV,Banking,Paid Search,,150,0.6,90.0,72.45,855,24,0.028070175,
Synovus Stockbrokers Vanderbilt ,NOV,Banking,Paid Search,,100,0.6,60.0,43.92,756,19,0.025132275,
Synovus Stockbrokers Sarasota ,NOV,Banking,Paid Search,,100,0.6,60.0,0.0,0,0,,
Tadlock Roofing,NOV,Roofing,Paid Search,,1400,0.6,840.0,529.42,1116,19,0.01702509,
The Roofing Guys,NOV,Roofing,Paid Search,,4000,0.6,2400.0,79.57,633,10,0.015797788,
Tires First - Aletheia,NOV,Tire & Auto,Paid Search,,500,0.6,300.0,293.51,1033,41,0.039690223,
Top Notch Cleaning,NOV,Restoration & Cleaning,Paid Search,,1500,0.6,900.0,705.34,1689,66,0.039076377,
Transmission Plus / AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,,1390,0.6,834.0,825.5,4788,166,0.034670007999999995,
AAA Parts & Salvage,NOV,Tire & Auto,Paid Search,,1050,0.6,630.0,402.68,1781,154,0.086468276,
Tyler Home Improvement,NOV,Home Improvement,Paid Search,,1000,0.6,600.0,546.58,897,34,0.037904125,
Tuscan Rose Vineyards,NOV,Winery,Paid Search,,,0.6,0.0,0.0,0,0,,
Watson Plumbing,NOV,Plumbing,Paid Search,,500,0.6,300.0,201.69,545,25,0.04587156,
Warrior Restoration,NOV,,Paid Search,,1000,0.6,600.0,18.1,133,1,0.007518797,
West GA Custom Fence,NOV,Fencing,Paid Search,,1000,0.6,600.0,323.37,1343,80,0.059568130999999996,
West Georgia Eye Care,NOV,Medical,Paid Search,,500,0.6,300.0,157.44,1422,69,0.048523207,
WK Eye - The Cataract Surgeons,NOV,Medical,Paid Search,,2700,0.6,1620.0,1170.88,3588,150,0.04180602,
Adams Family Dentistry,SEPT,Dentist,Paid Search,,600,0.6,,288.03,2012,68,,
AirLogic,SEPT,HVAC,Paid Search,,2000,0.6,,1139.36,5040,128,,
Aletheia Digital,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Apex Roofing,SEPT,Roofing,Paid Search,,1000,0.6,,600.29,5055,90,,
ASP Pools ,SEPT,Landscaping & Pools,Paid Search,,400,0.6,,0.0,0,0,,
Avery Roof Services,SEPT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Beracah Homes,SEPT,Housing,Paid Search,,1100,0.6,,663.09,1553,196,,
Best Choice Plumbing,SEPT,"Plumbing, HVAC",Paid Search,,1000,0.6,,357.54,1175,72,,
Brothers Gutters,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Butts Mill Farm ,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Buzzell Plumbing Heating & AC,SEPT,"Plumbing, HVAC",Paid Search,,2101,0.6,,1137.77,6432,240,,
Cash Plumbing,SEPT,"Plumbing, HVAC",Paid Search,,600,0.6,,1133.91,2800,28,,
Cheap Cheap Trees,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Childress Dental,SEPT,Dentist,Paid Search,,1000,0.6,,456.01,1498,63,,
Chris Moore Roofing,SEPT,Roofing,Paid Search,,1000,0.6,,587.99,1526,53,,
Claim Adjusters,SEPT,,Paid Search,,1000,0.6,,600.69,2409,70,,
Columbus Hospice,SEPT,Medical,Paid Search,,1500,0.6,,943.24,4188,341,,
Complete Tire,SEPT,Tire & Auto,Paid Search,,1400,0.6,,977.59,4141,187,,
Containers by Reaves,SEPT,Waste Management,Paid Search,,1000,0.6,,610.43,2529,165,,
Custom Home Furniture,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Custom Home Sleep Shop,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
D&H Backhoe Services,SEPT,Plumbing,Paid Search,,350,0.6,,143.56,236,16,,
Economy Air,SEPT,HVAC,Paid Search,,1000,0.6,,481.17,1173,40,,
Elements Lawn & Pest,SEPT,Landscaping & Pools,Paid Search,,1500,0.6,,951.01,3089,93,,
Elite Tree Service,SEPT,Tree Service,Paid Search,,700,0.6,,421.9,1412,56,,
E&S Clothing Warehouse,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Fairway Carts - EZ Go,SEPT,Golfing,Paid Search,,400,0.6,,236.03,886,48,,
Fence Doctor,SEPT,Fencing,Paid Search,,500,0.6,,293.04,2260,101,,
Five Star Painting ,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Fosters Tree Service,SEPT,Tree Service,Paid Search,,700,0.6,,793.65,1746,39,,
Funderburk & Lane,SEPT,Lawyer,Paid Search,,1000,0.6,,521.93,994,36,,
Green Team Dumpster Rentals,SEPT,Waste Management,Paid Search,,500,0.6,,296.5,2273,49,,
Gutter Perfection,SEPT,Roofing,Paid Search,,1200,0.6,,630.21,5218,100,,
iAct BIO Pediactric Diabetes Mellitus,SEPT,Clinical Trials,Paid Search,,125,0.6,,0.0,0,0,,
iAct Cardiomyopathy Trial,SEPT,Clinical Trials,Paid Search,,125,0.6,,0.0,0,0,,
iAct Celiac Disease,SEPT,Clinical Trials,Paid Search,,125,0.6,,0.0,0,0,,
iAct Incyte Ped Eczema,SEPT,Clinical Trials,Paid Search,,,0.6,,20.18,307,12,,
iAct Lung Cancer,SEPT,Clinical Trials,Paid Search,,,0.6,,60.84,428,24,,
iAct Lung Cancer Two,SEPT,Clinical Trials,Paid Search,,,0.6,,80.91,834,32,,
iAct Galera Oral Mucositis,SEPT,Clinical Trials,Paid Search,,167,0.6,,128.43,1970,31,,
iAct Skin Infection,SEPT,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Pfizer AD ,SEPT,Clinical Trials,Paid Search,,320,0.6,,106.5,1013,35,,
iAct Ulcerative Colitis ,SEPT,Clinical Trials,Paid Search,,167,0.6,,81.9,923,42,,
iAct Ulcerative Shire,SEPT,Clinical Trials,Paid Search,,,0.6,,74.83,1191,32,,
iAct Vivus Adolescent Obes,SEPT,Clinical Trials,Paid Search,,,0.6,,42.5,323,28,,
JAE of America,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Law Office of Sherry L. Johnson,SEPT,Lawyer,Paid Search,,1000,0.6,,299.75,1697,43,,
Law Office of Shanna Rose,SEPT,,Paid Search,,400,0.6,,200.18,588,30,,
Majestic Carpet,SEPT,Flooring,Paid Search,,625,0.6,,345.45,1075,43,,
Magic Bubbles,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Maps.org,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Matt's Roofing & Gutters,SEPT,Roofing,Paid Search,,4050,0.6,,2185.78,11101,196,,
Martin Brothers Body Works,SEPT,Tire & Auto,Paid Search,,500,0.6,,287.69,2251,64,,
McGuire's Portable Buildings,SEPT,Buildings,Paid Search,,1800,0.6,,1039.96,5618,379,,
Mid-Georgia Garage DoorsMid- GA SEM,SEPT,Buildings,Paid Search,,2000,0.6,,1338.64,4811,158,,
Midtown OB,SEPT,Medical,Paid Search,,375,0.6,,220.73,641,42,,
Mold Zero,SEPT,Home Improvement,Paid Search,,6500,0.6,,4828.65,9903,232,,
Muse Kitchen & Bath,SEPT,Home Improvement,Paid Search,,,0.6,,0.0,0,0,,
NATSB,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Northridge Vet,SEPT,Veterinary,Paid Search,,1000,0.6,,0.0,0,0,,
Overby Company,SEPT,Office Supply,Paid Search,,400,0.6,,216.71,3063,34,,
Overhead Door Company,SEPT,Garage Door,Paid Search,,1500,0.6,,892.16,4814,199,,
Overhead Door Pensacola,SEPT,Garage Door,Paid Search,,5000,0.6,,149.88,2376,62,,
Overhead Door Montgomery,SEPT,Garage Door,Paid Search,,1500,0.6,,850.16,1016,61,,
Overhead Door -Watertown,SEPT,Garage Door,Paid Search,,500,0.6,,282.25,1877,92,,
Parkside Dental,SEPT,Dentist,Paid Search,,1000,0.6,,652.92,1910,84,,
Pink Monarch,SEPT,Medical,Paid Search,,240,0.6,,149.99,421,32,,
Piano Crafters,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
Platinum Roofing ,SEPT,,Paid Search,,1500,0.6,,8.44,110,5,,
PRMC,SEPT,Real Estate,Paid Search,,,0.6,,0.0,0,0,,
ProGuard 563,SEPT,Roofing & HVAC,Paid Search,,,0.6,,0.0,0,0,,
Reliance Home Services,SEPT,Roofing & HVAC,Paid Search,,,0.6,,0.0,0,0,,
Reliable Pool Enclosures,SEPT,,Paid Search,,1500,0.6,,940.89,8191,323,,
Rusty's  Floor Coverings,SEPT,Flooring,Paid Search,,500,0.6,,84.98,1152,20,,
Servpro CDW,SEPT,Restoration & Cleaning,Paid Search,,1200,0.6,,147.8,326,10,,
"Servpro Harris, Meriwether, & Stewart",SEPT,,Paid Search,,,0.6,,0.0,0,0,,
ServPro of Phenix City,SEPT,Restoration & Cleaning,Paid Search,,700,0.6,,379.33,5208,119,,
Shred A Way,SEPT,Office Supply,Paid Search,,1400,0.6,,806.13,2781,93,,
Smiths Radiator,SEPT,Tire & Auto,Paid Search,,1000,0.6,,548.55,3598,133,,
Southern Services Carpet,SEPT,Flooring,Paid Search,,500,0.6,,267.68,286,27,,
Southern Scarlett,SEPT,,Paid Search,,500,0.6,,193.08,15110,261,,
Superior Plumbing,SEPT,Plumbing,Paid Search,,1500,0.6,,1197.3,1417,56,,
Synovus Minority Birmingham,SEPT,Banking,Paid Search,,100,0.6,,58.28,407,30,,
Synovus Minority Naples,SEPT,Banking,Paid Search,,100,0.6,,0.0,0,0,,
Synovus Minority Atlanta,SEPT,Banking,Paid Search,,100,0.6,,57.91,254,31,,
Synovus Minority Sarasota,SEPT,Banking,Paid Search,,100,0.6,,53.77,315,29,,
Synovus Minority Mobile,SEPT,Banking,Paid Search,,100,0.6,,55.73,405,34,,
Synovus Minority Orlando,SEPT,Banking,Paid Search,,100,0.6,,50.21,386,32,,
Synovus Minority Cape Coral,SEPT,Banking,Paid Search,,100,0.6,,0.0,0,0,,
Synovus Minority Hilton Head,SEPT,Banking,Paid Search,,100,0.6,,51.84,321,27,,
Synovus Albany Branding ,SEPT,Banking,Paid Search,,200,0.6,,96.52,1371,205,,
Synovus Mobile Branding ,SEPT,Banking,Paid Search,,,0.6,,0.0,0,0,,
Synovus Tifton Branding ,SEPT,Banking,Paid Search,,150,0.6,,57.64,755,67,,
Synovus Sarasota Branding,SEPT,Banking,Paid Search,,200,0.6,,138.4,1249,35,,
Synovus Warner Robins Branding ,SEPT,Banking,Paid Search,,120,0.6,,59.85,701,66,,
Synovus Valdosta Branding ,SEPT,Banking,Paid Search,,,0.6,,44.93,523,68,,
Synovus Stockbrokers Caribbean ,SEPT,Banking,Paid Search,,100,0.6,,0.0,0,0,,
Synovus Stockbrokers Wellington ,SEPT,Banking,Paid Search,,100,0.6,,0.0,0,0,,
Synovus Stockbrokers Palm Harbor ,SEPT,Banking,Paid Search,,100,0.6,,0.0,0,0,,
Synovus Stockbrokers Vanderbilt ,SEPT,Banking,Paid Search,,100,0.6,,0.0,0,0,,
Synovus Stockbrokers Sarasota ,SEPT,Banking,Paid Search,,100,0.6,,0.0,0,0,,
Tadlock Roofing,SEPT,Roofing,Paid Search,,,0.6,,0.0,0,0,,
The Roofing Guys,SEPT,Roofing,Paid Search,,4000,0.6,,2244.9,19452,332,,
Tires First - Aletheia,SEPT,Tire & Auto,Paid Search,,500,0.6,,300.61,1593,61,,
Top Notch Cleaning,SEPT,Restoration & Cleaning,Paid Search,,500,0.6,,225.91,1173,44,,
Transmission Plus / AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,,1390,0.6,,958.36,6011,180,,
AAA Parts & Salvage,SEPT,Tire & Auto,Paid Search,,1050,0.6,,646.75,2603,256,,
Tyler Home Improvement,SEPT,Home Improvement,Paid Search,,1000,0.6,,578.05,1116,30,,
Tuscan Rose Vineyards,SEPT,Winery,Paid Search,,,0.6,,0.0,0,0,,
Watson Plumbing,SEPT,Plumbing,Paid Search,,500,0.6,,298.94,893,39,,
Warrior Restoration,SEPT,,Paid Search,,,0.6,,0.0,0,0,,
West GA Custom Fence,SEPT,Fencing,Paid Search,,1000,0.6,,575.9,2483,132,,
West Georgia Eye Care,SEPT,Medical,Paid Search,,500,0.6,,317.94,1793,96,,
Adams Family Dentistry,AUG,Dentist,Paid Search,,600,0.6,,263.75,2094,58,,
AirLogic,AUG,HVAC,Paid Search,,2000,0.6,,1096.0,6018,109,,
Aletheia Digital,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Apex Roofing,AUG,Roofing,Paid Search,,1000,0.6,,618.28,4577,102,,
ASP Pools ,AUG,Landscaping & Pools,Paid Search,,400,0.6,,147.04,422,30,,
Avery Roof Services,AUG,Roofing,Paid Search,,,0.6,,0.0,0,0,,
Beracah Homes,AUG,Housing,Paid Search,,1100,0.6,,661.31,1682,223,,
Best Choice Plumbing,AUG,"Plumbing, HVAC",Paid Search,,1000,0.6,,761.95,1875,108,,
Brothers Gutters,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Butts Mill Farm ,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Buzzell Plumbing Heating & AC,AUG,"Plumbing, HVAC",Paid Search,,2101,0.6,,1350.73,10434,290,,
Cash Plumbing,AUG,"Plumbing, HVAC",Paid Search,,600,0.6,,295.34,1794,13,,
Cheap Cheap Trees,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Childress Dental,AUG,Dentist,Paid Search,,1000,0.6,,737.52,2620,87,,
Chris Moore Roofing,AUG,Roofing,Paid Search,,1000,0.6,,584.16,1516,56,,
Claim Adjusters,AUG,,Paid Search,,,0.6,,398.75,1006,28,,
Columbus Hospice,AUG,Medical,Paid Search,,1500,0.6,,908.39,4574,348,,
Complete Tire,AUG,Tire & Auto,Paid Search,,1000,0.6,,489.57,2897,116,,
Containers by Reaves,AUG,Waste Management,Paid Search,,1000,0.6,,593.0,2827,152,,
Custom Home Furniture,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Custom Home Sleep Shop,AUG,,Paid Search,,,0.6,,0.0,0,0,,
D&H Backhoe Services,AUG,Plumbing,Paid Search,,350,0.6,,161.84,475,27,,
Economy Air,AUG,HVAC,Paid Search,,1000,0.6,,338.04,815,33,,
Elements Lawn & Pest,AUG,Landscaping & Pools,Paid Search,,1500,0.6,,1164.62,3653,91,,
Elite Tree Service,AUG,Tree Service,Paid Search,,700,0.6,,442.53,1474,56,,
E&S Clothing Warehouse,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Fairway Carts - EZ Go,AUG,Golfing,Paid Search,,400,0.6,,246.61,1463,61,,
Fence Doctor,AUG,Fencing,Paid Search,,500,0.6,,275.84,2163,84,,
Five Star Painting ,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Fosters Tree Service,AUG,Tree Service,Paid Search,,700,0.6,,241.22,1442,22,,
Funderburk & Lane,AUG,Lawyer,Paid Search,,1000,0.6,,701.98,1099,46,,
Green Team Dumpster Rentals,AUG,Waste Management,Paid Search,,500,0.6,,406.55,3074,79,,
Gutter Perfection,AUG,Roofing,Paid Search,,1200,0.6,,722.33,4205,119,,
iAct BIO Pediactric Diabetes Mellitus,AUG,Clinical Trials,Paid Search,,125,0.6,,0.0,0,0,,
iAct Cardiomyopathy Trial,AUG,Clinical Trials,Paid Search,,125,0.6,,0.0,0,0,,
iAct Celiac Disease,AUG,Clinical Trials,Paid Search,,125,0.6,,0.0,0,0,,
iAct Incyte Ped Eczema,AUG,Clinical Trials,Paid Search,,,0.6,,55.0,845,18,,
iAct Lung Cancer,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Lung Cancer Two,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Galera Oral Mucositis,AUG,Clinical Trials,Paid Search,,167,0.6,,9.11,139,4,,
iAct Skin Infection,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Pfizer AD ,AUG,Clinical Trials,Paid Search,,320,0.6,,80.03,1440,25,,
iAct Ulcerative Colitis ,AUG,Clinical Trials,Paid Search,,167,0.6,,86.53,1875,51,,
iAct Ulcerative Shire,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
iAct Vivus Adolescent Obes,AUG,Clinical Trials,Paid Search,,,0.6,,0.0,0,0,,
JAE of America,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Law Office of Sherry L. Johnson,AUG,Lawyer,Paid Search,,1000,0.6,,602.3,2272,61,,
Law Office of Shanna Rose,AUG,,Paid Search,,500,0.6,,302.45,1212,40,,
Majestic Carpet,AUG,Flooring,Paid Search,,625,0.6,,355.3,973,45,,
Magic Bubbles,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Maps.org,AUG,,Paid Search,,,0.6,,0.0,0,0,,
Matt's Roofing & Gutters,AUG,Roofing,Paid Search,,4050,0.6,,1338.16,6828,119,,
Martin Brothers Body Works,AUG,Tire & Auto,Paid Search,,500,0.6,,402.26,2285,94,,
McGuire's Portable Buildings,AUG,Buildings,Paid Search,,1800,0.6,,1064.34,6055,398,,
Mid-Georgia Garage DoorsMid- GA SEM,AUG,Buildings,Paid Search,,2000,0.6,,1295.37,4747,145,,
Midtown OB,AUG,Medical,Paid Search,,375,0.6,,193.64,919,49,,
Mold Zero,AUG,Home Improvement,Paid Search,,6500,0.6,,5260.91,10801,251,,
Muse Kitchen & Bath,AUG,Home Improvement,Paid Search,,,0.6,,0.0,0,0,,
NATSB,AUG,,Paid Search,,,0.6,,0.0,0,0,,
